,类别,LASSO系数_绝对值,LASSO归一化,RF重要性,RF归一化,综合得分
TC,血常规,0.04764115765753055,0.1639076193577043,0.29106433405623605,0.29106433405623605,0.45497195341394037
TG,血常规,0.014932402435069169,0.05137437154692014,0.3375439724445838,0.3375439724445838,0.38891834399150393
ADL吃饭,活动量表,0.06810765711026999,0.23432184451148835,0.005776624958731446,0.005776624958731446,0.2400984694702198
血尿酸,血常规,0.0,0.0,0.156264110143451,0.156264110143451,0.156264110143451
LDL-C,血常规,0.01993757205350592,0.06859447023840944,0.06717517615724587,0.06717517615724587,0.1357696463956553
IADL交通,活动量表,0.02402517359753775,0.08265771032130927,0.00562763484675685,0.00562763484675685,0.08828534516806612
ADL洗澡,活动量表,0.016070273780336774,0.05528917531132197,0.004571996700380548,0.004571996700380548,0.05986117201170252
ADL用厕,活动量表,0.01551525973936884,0.05337967028167721,0.005183282775047214,0.005183282775047214,0.058562953056724425
HDL-C,血常规,0.0021009823607149028,0.007228351156636426,0.049350735647828034,0.049350735647828034,0.05657908680446446
IADL理财,活动量表,0.015244218558697014,0.052447163246664014,0.004070343886603018,0.004070343886603018,0.05651750713326703
性别,控制变量,0.013926327538678127,0.04791300853075635,0.002060519306454625,0.002060519306454625,0.04997352783721097
IADL购物,活动量表,0.012953053150146583,0.04456449443391609,0.004517662060886494,0.004517662060886494,0.04908215649480258
饮酒史,控制变量,0.01314137217589071,0.04521239899180633,0.0015607818542538318,0.0015607818542538318,0.046773180846060164
年龄组,控制变量,0.011050870121442026,0.03802010493652298,0.004550393209727985,0.004550393209727985,0.04257049814625097
空腹血糖,血常规,0.008100077495876825,0.02786801337839077,0.010512386085636292,0.010512386085636292,0.03838039946402706
吸烟史,控制变量,0.005632381687177813,0.019377998332778094,0.0012748889836609115,0.0012748889836609115,0.020652887316439005
ADL步行,活动量表,0.0017277971689268604,0.0059444214753882705,0.0038044664480166887,0.0038044664480166887,0.00974888792340496
BMI,血常规,0.0,0.0,0.009051923538610855,0.009051923538610855,0.009051923538610855
IADL服药,活动量表,0.0005520141300120284,0.0018991839483099534,0.005244021325111965,0.005244021325111965,0.0071432052734219185
IADL总分,活动量表,0.0,0.0,0.007021842439536004,0.007021842439536004,0.007021842439536004
活动量表总分,活动量表,0.0,0.0,0.006655908873632197,0.006655908873632197,0.006655908873632197
ADL总分,活动量表,0.0,0.0,0.005925230539870649,0.005925230539870649,0.005925230539870649
IADL做饭,活动量表,0.0,0.0,0.005762894061505893,0.005762894061505893,0.005762894061505893
ADL穿衣,活动量表,0.0,0.0,0.005428869656231736,0.005428869656231736,0.005428869656231736
