变量,回归系数(Coef),OR值,OR_95%CI_下限,OR_95%CI_上限,P值,显著性
平和质,0.330633071827979,1.3918489899944178,0.8324021789757915,2.3272928157541752,0.2074607507972277,ns
气虚质,0.42044302984905163,1.522635979400784,0.9537086192619859,2.430952472213014,0.07817086306236816,ns
阳虚质,0.07204163198048985,1.074700085025452,0.6661847903646898,1.7337235695841122,0.7678002720284806,ns
阴虚质,-0.031141702783863946,0.9693382054213524,0.6053819127409674,1.5521054341303615,0.8968377082695136,ns
痰湿质,0.011356097366499215,1.0114208226169092,0.6677849022215467,1.5318886021829832,0.9572428096102688,ns
湿热质,-0.22895322324139786,0.795365737266044,0.49321547762450835,1.2826172022492162,0.3476948821091682,ns
血瘀质,-0.23726206932353408,0.7887845446962091,0.48324012924512205,1.2875194345377026,0.3425847516700612,ns
气郁质,0.11018060259885593,1.1164796913855257,0.6852318161495072,1.8191316747095487,0.6582297705697722,ns
特禀质,-0.06961847244841803,0.9327496217069461,0.5761319508611876,1.510108674747103,0.7770173030125332,ns
年龄组,-0.09300131376713063,0.9111923032008565,0.831079146571833,0.9990280911719622,0.04762795164698543,*
性别,-0.026090027222570325,0.9742473768751052,0.7578482933200518,1.252437934761144,0.8386821072227711,ns
吸烟史,-0.22820681628606398,0.7959596253979174,0.618369731993632,1.0245516435951902,0.07645070450519549,ns
饮酒史,-0.2708996106358665,0.7626930588331796,0.591586958406249,0.983288582898158,0.03661946618076616,*
